Time,K004b_Raum.room_temperature
0,22.85
1,22.8448
2,22.8396
3,22.8345
4,22.8293
5,22.8242
6,22.8191
7,22.814
8,22.8089
9,22.8039
10,22.7988
10,22.7988
11,22.7938
12,22.7888
13,22.7838
14,22.7788
15,22.7738
16,22.7688
17,22.7639
18,22.759
19,22.7541
20,22.7492
20,22.7492
21,22.7443
22,22.7395
23,22.7346
24,22.7298
25,22.725
26,22.7202
27,22.7154
28,22.7107
29,22.7059
30,22.7012
30,22.7012
31,22.6965
32,22.6918
33,22.6871
34,22.6824
35,22.6778
36,22.6732
37,22.6685
38,22.6639
39,22.6594
40,22.6548
40,22.6548
41,22.6502
42,22.6457
43,22.6412
44,22.6367
45,22.6322
46,22.6277
47,22.6233
48,22.6189
49,22.6144
50,22.61
50,22.61
51,22.6057
52,22.6013
53,22.5969
54,22.5926
55,22.5882
56,22.5839
57,22.5796
58,22.5753
59,22.571
60,22.5667
60,22.5667
61,22.5625
62,22.5582
63,22.554
64,22.5498
65,22.5455
66,22.5413
67,22.5371
68,22.533
69,22.5288
70,22.5246
70,22.5246
71,22.5205
72,22.5163
73,22.5122
74,22.5081
75,22.504
76,22.4999
77,22.4959
78,22.4918
79,22.4878
80,22.4838
80,22.4838
81,22.4798
82,22.4758
83,22.4718
84,22.4679
85,22.4639
86,22.46
87,22.4561
88,22.4522
89,22.4483
90,22.4445
90,22.4445
91,22.4406
92,22.4368
93,22.4329
94,22.4291
95,22.4253
96,22.4215
97,22.4177
98,22.4139
99,22.4101
100,22.4064
100,22.4064
101,22.4026
102,22.3989
103,22.3951
104,22.3914
105,22.3877
106,22.3841
107,22.3804
108,22.3767
109,22.3731
110,22.3695
110,22.3695
111,22.3659
112,22.3623
113,22.3587
114,22.3551
115,22.3516
116,22.348
117,22.3445
118,22.341
119,22.3375
120,22.334
120,22.334
121,22.3305
122,22.327
123,22.3235
124,22.3201
125,22.3166
126,22.3132
127,22.3098
128,22.3063
129,22.3029
130,22.2995
130,22.2995
131,22.2962
132,22.2928
133,22.2894
134,22.2861
135,22.2827
136,22.2794
137,22.2761
138,22.2728
139,22.2695
140,22.2662
140,22.2662
141,22.2629
142,22.2596
143,22.2564
144,22.2531
145,22.2499
146,22.2466
147,22.2434
148,22.2402
