Time,room_radiator_window_withoutpe.room_temperature
8000,21.25
8001,21.2389
8001,21.2389
8002,21.2279
8002,21.2279
8003,21.2169
8003,21.2169
8004,21.206
8004,21.206
8005,21.1951
8005,21.1951
8006,21.1842
8006,21.1842
8007,21.1734
8007,21.1734
8008,21.1626
8008,21.1626
8009,21.1518
8009,21.1518
8010,21.1411
8010,21.1411
8011,21.1303
8011,21.1303
8012,21.1197
8012,21.1197
8013,21.109
8013,21.109
8014,21.0984
8014,21.0984
8015,21.0879
8015,21.0879
8016,21.0775
8016,21.0775
8017,21.067
8017,21.067
8018,21.0566
8018,21.0566
8019,21.0462
8019,21.0462
8020,21.0359
8020,21.0359
8021,21.0256
8021,21.0256
8022,21.0153
8022,21.0153
8023,21.005
8023,21.005
8024,20.9949
8024,20.9949
8025,20.9849
8025,20.9849
8026,20.975
8026,20.975
8027,20.9651
8027,20.9651
8028,20.9552
8028,20.9552
8029,20.9453
8029,20.9453
8030,20.9355
8030,20.9355
8031,20.9257
8031,20.9257
8032,20.9159
8032,20.9159
8033,20.9062
8033,20.9062
8034,20.8966
8034,20.8966
8035,20.8872
8035,20.8872
8036,20.8779
8036,20.8779
8037,20.8685
8037,20.8685
8038,20.8592
8038,20.8592
8039,20.85
8039,20.85
8040,20.8407
8040,20.8407
8041,20.8315
8041,20.8315
8042,20.8223
8042,20.8223
8043,20.8132
8043,20.8132
8044,20.8041
8044,20.8041
8045,20.795
8045,20.795
8046,20.786
8046,20.786
8047,20.777
8047,20.777
8048,20.768
8048,20.768
8049,20.7591
8049,20.7591
8050,20.7502
8050,20.7502
8051,20.7413
8051,20.7413
8052,20.7324
8052,20.7324
8053,20.7236
8053,20.7236
8054,20.7148
8054,20.7148
8055,20.7061
8055,20.7061
8056,20.6974
8056,20.6974
8057,20.6887
8057,20.6887
8058,20.6801
8058,20.6801
8059,20.6715
8059,20.6715
8060,20.6629
8060,20.6629
8061,20.6543
8061,20.6543
8062,20.6458
8062,20.6458
8063,20.6374
8063,20.6374
8064,20.6292
8064,20.6292
8065,20.621
8065,20.621
8066,20.6128
8066,20.6128
8067,20.6046
8067,20.6046
8068,20.5965
8068,20.5965
8069,20.5884
8069,20.5884
8070,20.5803
8070,20.5803
8071,20.5723
8071,20.5723
8072,20.5643
8072,20.5643
8073,20.5564
8073,20.5564
8074,20.5489
8074,20.5489
8075,20.5413
8075,20.5413
8076,20.5338
8076,20.5338
8077,20.5262
8077,20.5262
8078,20.5188
8078,20.5188
8079,20.5113
8079,20.5113
8080,20.5038
8080,20.5038
8081,20.4964
