Time,room_radiator_window_withoutpe.room_temperature
8000,21.25
8001,21.2452
8001,21.2452
8002,21.2405
8002,21.2405
8003,21.2358
8003,21.2358
8004,21.231
8004,21.231
8005,21.2263
8005,21.2263
8006,21.2216
8006,21.2216
8007,21.2169
8007,21.2169
8008,21.2122
8008,21.2122
8009,21.2075
8009,21.2075
8010,21.2029
8010,21.2029
8011,21.1982
8011,21.1982
8012,21.1935
8012,21.1935
8013,21.1889
8013,21.1889
8014,21.1842
8014,21.1842
8015,21.1796
8015,21.1796
8016,21.175
8016,21.175
8017,21.1704
8017,21.1704
8018,21.1658
8018,21.1658
8019,21.1612
8019,21.1612
8020,21.1566
8020,21.1566
8021,21.1521
8021,21.1521
8022,21.1475
8022,21.1475
8023,21.1429
8023,21.1429
8024,21.1384
8024,21.1384
8025,21.134
8025,21.134
8026,21.1295
8026,21.1295
8027,21.1251
8027,21.1251
8028,21.1206
8028,21.1206
8029,21.1162
8029,21.1162
8030,21.1118
8030,21.1118
8031,21.1074
8031,21.1074
8032,21.1029
8032,21.1029
8033,21.0985
8033,21.0985
8034,21.0942
8034,21.0942
8035,21.0899
8035,21.0899
8036,21.0857
8036,21.0857
8037,21.0814
8037,21.0814
8038,21.0772
8038,21.0772
8039,21.0729
8039,21.0729
8040,21.0687
8040,21.0687
8041,21.0645
8041,21.0645
8042,21.0602
8042,21.0602
8043,21.056
8043,21.056
8044,21.0518
8044,21.0518
8045,21.0476
8045,21.0476
8046,21.0435
8046,21.0435
8047,21.0393
8047,21.0393
8048,21.0351
8048,21.0351
8049,21.031
8049,21.031
8050,21.0268
8050,21.0268
8051,21.0227
8051,21.0227
8052,21.0185
8052,21.0185
8053,21.0144
8053,21.0144
8054,21.0103
8054,21.0103
8055,21.0062
8055,21.0062
8056,21.0021
8056,21.0021
8057,20.998
8057,20.998
8058,20.9939
8058,20.9939
8059,20.9899
8059,20.9899
8060,20.9858
8060,20.9858
8061,20.9817
8061,20.9817
8062,20.9777
8062,20.9777
8063,20.9737
8063,20.9737
8064,20.9697
8064,20.9697
8065,20.9658
8065,20.9658
8066,20.9619
8066,20.9619
8067,20.9579
8067,20.9579
8068,20.954
8068,20.954
8069,20.9501
8069,20.9501
8070,20.9462
8070,20.9462
8071,20.9423
8071,20.9423
8072,20.9384
8072,20.9384
8073,20.9346
8073,20.9346
8074,20.9309
8074,20.9309
